Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
202507554,"When the Moon Hatched (Moonfall, #1)",Sarah A. Parker,"Parker, Sarah A.",,"=""""","=""""",0,4.00,,Kindle Edition,718,2024,2024,,2024/06/30,to-read,to-read (#127),to-read,,,,0,0
9717320,"Divergent (Divergent, #1)",Veronica Roth,"Roth, Veronica",,"=""""","=""""",3,4.13,Katherine Tegen Books,ebook,342,2011,2011,2024/06/28,2024/06/09,,,read,,,,1,0
131036965,"Forsaken Mate (Shifted Fates, #1)",Vasilisa Drake,"Drake, Vasilisa",,"=""""","=""""",0,3.76,,Kindle Edition,310,2023,,,2024/06/27,to-read,to-read (#126),to-read,,,,0,0
199420138,"Gleam (The Plated Prisoner, #3)",Raven Kennedy,"Kennedy, Raven",,"=""1464224439""","=""9781464224430""",5,4.38,Bloom Books,Paperback,784,2024,2021,2024/06/24,2024/06/15,,,read,,,,1,0
17210598,The Bunker Diary,Kevin Brooks,"Brooks, Kevin",,"=""0141326123""","=""9780141326122""",0,3.80,Penguin,Paperback,268,2013,2013,,2024/06/24,to-read,to-read (#125),to-read,,,,0,0
40471,Outer Dark,Cormac McCarthy,"McCarthy, Cormac",,"=""0330314920""","=""9780330314923""",0,3.89,Picador,Paperback,256,2007,1968,,2024/06/24,to-read,to-read (#124),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,3.85,Vintage Books ,Paperback,288,2010,2005,,2024/06/24,to-read,to-read (#123),to-read,,,,0,0
60310757,"Lightlark (Lightlark, #1)",Alex Aster,"Aster, Alex",,"=""1419760866""","=""9781419760860""",0,3.85,Harry N. Abrams,Hardcover,416,2022,2022,,2024/06/23,to-read,to-read (#122),to-read,,,,0,0
123471760,"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,"Cole, Penn",,"=""""","=""""",0,4.18,,Kindle Edition,438,2023,2023,,2024/06/22,to-read,to-read (#121),to-read,,,,0,0
1584974,"Lord of the Fading Lands (Tairen Soul, #1)",C.L. Wilson,"Wilson, C.L.",,"=""0843959770""","=""9780843959772""",0,3.95,Dorchester Pub Co Inc,Paperback,406,2007,2007,,2024/06/21,to-read,to-read (#120),to-read,,,,0,0
11387515,"Wonder (Wonder, #1)",R.J. Palacio,"Palacio, R.J.",,"=""0375869026""","=""9780375869020""",0,4.36,Alfred A. Knopf,Hardcover,315,2012,2012,,2024/06/18,to-read,to-read (#119),to-read,,,,0,0
196864520,"Butcher & Blackbird (The Ruinous Love Trilogy, #1)",Brynne Weaver,"Weaver, Brynne",,"=""""","=""9798857497074""",0,4.01,Independently Published,Paperback,360,2023,2023,,2024/06/16,to-read,to-read (#118),to-read,,,,0,0
61116344,"Glint  (Plated Prisoner, #2)",Raven Kennedy,"Kennedy, Raven",,"=""1405955058""","=""9781405955058""",5,4.15,Penguin,Kindle Edition,469,2022,2021,2024/06/15,2024/06/12,,,read,,,,1,0
56212081,"Gild (The Plated Prisoner, #1)",Raven Kennedy,"Kennedy, Raven",,"=""8691989076""","=""9788691989071""",4,3.60,Independently published,Paperback,386,2020,2020,2024/06/12,2024/03/11,,,read,,,,1,0
54102531,The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",5,4.25,Anchor ,Kindle Edition,210,2019,2019,2024/06/10,2024/05/23,,,read,,,,1,0
2113260,"Shades of Grey (Shades of Grey, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0670019631""","=""9780670019632""",0,4.15,Viking,Hardcover,390,2009,2009,,2024/06/09,to-read,to-read (#117),to-read,,,,0,0
